Title,Price,Availability,Rating
Throwing Rocks at the Google Bus: How Growth Became the Enemy of Prosperity,31.12,True,3
This One Summer,19.49,True,4
Thirst,17.27,True,5
The Torch Is Passed: A Harding Family Story,19.09,True,1
The Secret of Dreadwillow Carse,56.13,True,1
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",56.41,True,1
The Past Never Ends,56.5,True,4
The Natural History of Us (The Fine Art of Pretending #2),45.22,True,3
The Nameless City (The Nameless City #1),38.16,True,4
The Murder That Never Was (Forensic Instincts #5),54.11,True,3
The Most Perfect Thing: Inside (and Outside) a Bird's Egg,42.96,True,4
"The Mindfulness and Acceptance Workbook for Anxiety: A Guide to Breaking Free from Anxiety, Phobias, and Worry Using Acceptance and Commitment Therapy",23.89,True,4
The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,16.77,True,3
"The Inefficiency Assassin: Time Management Tactics for Working Smarter, Not Longer",20.59,True,5
The Gutsy Girl: Escapades for Your Life of Epic Adventure,37.13,True,1
The Electric Pencil: Drawings from Inside State Hospital No. 3,56.06,True,1
The Death of Humanity: and the Case for Life,58.11,True,4
"The Bulletproof Diet: Lose up to a Pound a Day, Reclaim Energy and Focus, Upgrade Your Life",49.05,True,3
The Art Forger,40.76,True,3
The Age of Genius: The Seventeenth Century and the Birth of the Modern Mind,19.73,True,1
The Activist's Tao Te Ching: Ancient Advice for a Modern Revolution,32.24,True,5
Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,41.83,True,4
Soul Reader,39.58,True,2
Security,39.25,True,2
"Saga, Volume 6 (Saga (Collected Editions) #6)",25.02,True,3
"Saga, Volume 5 (Saga (Collected Editions) #5)",51.04,True,2
Reskilling America: Learning to Labor in the Twenty-First Century,19.83,True,2
"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)",50.4,True,3
"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)",13.61,True,5
Princess Between Worlds (Wide-Awake Princess #5),13.34,True,5
"Pop Gun War, Volume 1: Gift",18.97,True,1
"Political Suicide: Missteps, Peccadilloes, Bad Calls, Backroom Hijinx, Sordid Pasts, Rotten Breaks, and Just Plain Dumb Mistakes in the Annals of American Politics",36.28,True,2
Patience,10.16,True,3
"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)",15.44,True,4
orange: The Complete Collection 1 (orange: The Complete Collection #1),48.41,True,1
Online Marketing for Busy Authors: A Step-By-Step Guide,46.35,True,1
On a Midnight Clear,14.07,True,3
Obsidian (Lux #1),14.86,True,2
My Paris Kitchen: Recipes and Stories,33.37,True,2
Masks and Shadows,56.4,True,2
"Mama Tried: Traditional Italian Cooking for the Screwed, Crude, Vegan, and Tattooed",14.02,True,4
"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)",46.91,True,2
"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)",45.61,True,3
Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),19.92,True,2
"Layered: Baking, Building, and Styling Spectacular Cakes",40.11,True,1
Judo: Seven Steps to Black Belt (an Introductory Guide for Beginners),53.9,True,2
Join,35.67,True,5
In the Country We Love: My Family Divided,22.0,True,4
Immunity: How Elie Metchnikoff Changed the Course of Modern Medicine,57.36,True,5
"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)",29.17,True,2
I am a Hero Omnibus Volume 1,54.63,True,3
How to Be Miserable: 40 Strategies You Already Use,46.03,True,1
Her Backup Boyfriend (The Sorensen Family #1),33.97,True,1
"Giant Days, Vol. 2 (Giant Days #5-8)",22.11,True,2
Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,29.69,True,3
First and First (Five Boroughs #3),15.97,True,4
Fifty Shades Darker (Fifty Shades #2),21.96,True,1
Everydata: The Misinformation Hidden in the Little Data You Consume Every Day,54.35,True,2
"Don't Be a Jerk: And Other Practical Advice from Dogen, Japan's Greatest Zen Master",37.97,True,2
Danganronpa Volume 1,51.99,True,4
Crown of Midnight (Throne of Glass #2),43.29,True,3
"Codename Baboushka, Volume 1: The Conclave of Death",36.72,True,4
Camp Midnight,17.08,True,4
Call the Nurse: True Stories of a Country Nurse on a Scottish Isle,29.14,True,5
Burning,28.81,True,3
Bossypants,49.46,True,2
"Bitch Planet, Vol. 1: Extraordinary Machine (Bitch Planet (Collected Editions))",37.92,True,2
"Avatar: The Last Airbender: Smoke and Shadow, Part 3 (Smoke and Shadow #3)",28.09,True,2
Algorithms to Live By: The Computer Science of Human Decisions,30.81,True,1
A World of Flavor: Your Gluten Free Passport,42.95,True,1
"A Piece of Sky, a Grain of Rice: A Memoir in Four Meditations",56.76,True,5
A Murder in Time,16.64,True,1
A Flight of Arrows (The Pathfinders #2),55.53,True,5
A Fierce and Subtle Poison,28.13,True,4
A Court of Thorns and Roses (A Court of Thorns and Roses #1),52.37,True,1
(Un)Qualified: How God Uses Broken People to Do Big Things,54.0,True,5
You Are What You Love: The Spiritual Power of Habit,21.87,True,4
"William Shakespeare's Star Wars: Verily, A New Hope (William Shakespeare's Star Wars #4)",43.3,True,4
Tuesday Nights in 1980,21.04,True,2
Tracing Numbers on a Train,41.6,True,3
Throne of Glass (Throne of Glass #1),35.07,True,3
Thomas Jefferson and the Tripoli Pirates: The Forgotten War That Changed American History,59.64,True,1
Thirteen Reasons Why,52.72,True,1
The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,58.08,True,4
The Wedding Dress,24.12,True,1
The Vacationers,42.15,True,4
The Third Wave: An Entrepreneurâs Vision of the Future,12.61,True,5
The Stranger,17.44,True,4
The Shadow Hero (The Shadow Hero),33.14,True,1
The Secret (The Secret #1),27.37,True,4
The Regional Office Is Under Attack!,51.36,True,5
The Psychopath Test: A Journey Through the Madness Industry,36.0,True,2
The Project,10.65,True,1
The Power of Now: A Guide to Spiritual Enlightenment,43.54,True,2
The Omnivore's Dilemma: A Natural History of Four Meals,38.21,True,2
The Nerdy Nummies Cookbook: Sweet Treats for the Geek in All of Us,37.34,True,5
The Murder of Roger Ackroyd (Hercule Poirot #4),44.1,True,4
The Mistake (Off-Campus #2),43.29,True,3
The Matchmaker's Playbook (Wingmen Inc. #1),55.85,True,1
The Love and Lemons Cookbook: An Apple-to-Zucchini Celebration of Impromptu Cooking,37.6,True,2
The Long Shadow of Small Ghosts: Murder and Memory in an American City,10.97,True,1
The Kite Runner,41.82,True,4
The House by the Lake,36.95,True,1
The Glittering Court (The Glittering Court #1),44.28,True,1
The Girl on the Train,55.02,True,2
The Genius of Birds,17.24,True,1
The Emerald Mystery,23.15,True,2
The Cookies & Cups Cookbook: 125+ sweet & savory recipes reminding you to Always Eat Dessert First,41.25,True,1
The Bridge to Consciousness: I'm Writing the Bridge Between Science and Our Old and New Beliefs.,32.0,True,3
The Artist's Way: A Spiritual Path to Higher Creativity,38.49,True,5
The Art of War,33.34,True,5
The Argonauts,10.93,True,2
The 10% Entrepreneur: Live Your Startup Dream Without Quitting Your Day Job,27.55,True,3
Suddenly in Love (Lake Haven #1),55.99,True,2
Something More Than This,16.24,True,4
Soft Apocalypse,26.12,True,2
So You've Been Publicly Shamed,12.23,True,2
Shoe Dog: A Memoir by the Creator of NIKE,23.99,True,2
"Shobu Samurai, Project Aryoku (#3)",29.06,True,3
Secrets and Lace (Fatal Hearts #1),20.27,True,1
Scarlett Epstein Hates It Here,43.55,True,5
Romero and Juliet: A Tragic Tale of Love and Zombies,36.94,True,1
Redeeming Love,20.47,True,5
Poses for Artists Volume 1 - Dynamic and Sitting Poses: An Essential Reference for Figure Drawing and the Human Form,41.06,True,1
Poems That Make Grown Women Cry,14.19,True,4
"Nightingale, Sing",38.28,True,1
Night Sky with Exit Wounds,41.05,True,1
Mrs. Houdini,30.25,True,5
Modern Romance,28.26,True,5
Miss Peregrineâs Home for Peculiar Children (Miss Peregrineâs Peculiar Children #1),10.76,True,1
Louisa: The Extraordinary Life of Mrs. Adams,16.85,True,2
Little Red,13.47,True,3
Library of Souls (Miss Peregrineâs Peculiar Children #3),48.56,True,5
Large Print Heart of the Pride,19.15,True,2
I Had a Nice Time And Other Lies...: How to find love & sh*t like that,57.36,True,4
Hollow City (Miss Peregrineâs Peculiar Children #2),42.98,True,1
Grumbles,22.16,True,2
Full Moon over Noahâs Ark: An Odyssey to Mount Ararat and Beyond,49.43,True,4
Frostbite (Vampire Academy #2),29.99,True,5
Follow You Home,21.36,True,1
First Steps for New Christians (Print Edition),29.0,True,1
Finders Keepers (Bill Hodges Trilogy #2),53.53,True,5
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,True,4
Eureka Trivia 6.0,54.59,True,4
Drive: The Surprising Truth About What Motivates Us,34.95,True,4
Done Rubbed Out (Reightman & Bailey #1),37.72,True,5
Doing It Over (Most Likely To #1),35.61,True,3
"Deliciously Ella Every Day: Quick and Easy Recipes for Gluten-Free Snacks, Packed Lunches, and Simple Meals",42.16,True,3
Dark Notes,19.19,True,5
"Daring Greatly: How the Courage to Be Vulnerable Transforms the Way We Live, Love, Parent, and Lead",19.43,True,3
Close to You,49.46,True,4
Chasing Heaven: What Dying Taught Me About Living,37.8,True,2
Big Magic: Creative Living Beyond Fear,30.8,True,3
Becoming Wise: An Inquiry into the Mystery and Art of Living,27.43,True,2
Beauty Restored (Riley Family Legacy Novellas #3),11.11,True,2
Batman: The Long Halloween (Batman),36.5,True,2
Batman: The Dark Knight Returns (Batman),15.38,True,5
Ayumi's Violin,15.48,True,2
Anonymous,46.82,True,4
Amy Meets the Saints and Sages,18.46,True,3
Amid the Chaos,36.58,True,1
Amatus,50.54,True,5
Agnostic: A Spirited Manifesto,12.51,True,5
Zealot: The Life and Times of Jesus of Nazareth,24.7,True,3
You (You #1),43.61,True,5
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,True,4
Wild Swans,14.36,True,2
Why the Right Went Wrong: Conservatism--From Goldwater to the Tea Party and Beyond,52.65,True,4
Whole Lotta Creativity Going On: 60 Fun and Unusual Exercises to Awaken and Strengthen Your Creativity,38.2,True,4
What's It Like in Space?: Stories from Astronauts Who've Been There,19.6,True,2
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,True,1
Walt Disney's Alice in Wonderland,12.96,True,5
V for Vendetta (V for Vendetta Complete),37.1,True,4
Until Friday Night (The Field Party #1),46.31,True,2
"Unbroken: A World War II Story of Survival, Resilience, and Redemption",45.95,True,2
Twenty Yawns,22.08,True,2
Through the Woods,25.38,True,2
This Is Where It Ends,27.12,True,2
The Year of Magical Thinking,43.04,True,2
The Wright Brothers,56.8,True,4
The White Queen (The Cousins' War #1),25.91,True,5
The Wedding Pact (The O'Malleys #2),32.61,True,3
The Time Keeper,27.88,True,5
The Testament of Mary,52.67,True,4
The Star-Touched Queen,46.02,True,5
The Songs of the Gods,44.48,True,5
The Song of Achilles,37.4,True,5
The Rosie Project (Don Tillman #1),54.04,True,1
The Power of Habit: Why We Do What We Do in Life and Business,16.88,True,3
The Marriage of Opposites,28.08,True,4
The Lucifer Effect: Understanding How Good People Turn Evil,10.4,True,1
The Long Haul (Diary of a Wimpy Kid #9),44.07,True,1
The Loney,23.4,True,1
The Literature Book (Big Ideas Simply Explained),17.43,True,3
The Last Mile (Amos Decker #2),54.21,True,2
The Immortal Life of Henrietta Lacks,40.67,True,2
The Hidden Oracle (The Trials of Apollo #1),52.26,True,2
The Help Yourself Cookbook for Kids: 60 Easy Plant-Based Recipes Kids Can Make to Stay Healthy and Save the Earth,28.77,True,3
The Guilty (Will Robie #4),13.82,True,2
The First Hostage (J.B. Collins #2),25.85,True,3
The Dovekeepers,48.78,True,1
The Darkest Lie,35.35,True,5
The Bane Chronicles (The Bane Chronicles #1-11),44.73,True,4
The Bad-Ass Librarians of Timbuktu: And Their Race to Save the Worldâs Most Precious Manuscripts,15.77,True,1
The 14th Colony (Cotton Malone #11),39.24,True,1
That Darkness (Gardiner and Renner #1),13.92,True,1
Tastes Like Fear (DI Marnie Rome #3),10.69,True,1
Take Me with You,45.21,True,3
Swell: A Year of Waves,45.58,True,1
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,True,5
Still Life with Bread Crumbs,26.41,True,3
Steve Jobs,39.5,True,5
Sorting the Beef from the Bull: The Science of Food Fraud Forensics,44.74,True,4
Someone Like You (The Harrisons #2),52.79,True,5
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,True,4
Shtum,55.84,True,4
See America: A Celebration of Our National Parks & Treasured Sites,48.87,True,3
salt.,46.78,True,4
Robin War,47.82,True,3
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,True,2
Rain Fish,23.57,True,3
"Quarter Life Poetry: Poems for the Young, Broke and Hangry",50.89,True,5
Pet Sematary,10.56,True,3
"Overload: How to Unplug, Unwind, and Unleash Yourself from the Pressure of Stress",52.15,True,3
Once Was a Time,18.28,True,2
Old School (Diary of a Wimpy Kid #10),11.83,True,5
No Dream Is Too High: Life Lessons From a Man Who Walked on the Moon,21.95,True,2
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,True,2
My Name Is Lucy Barton,41.56,True,1
My Mrs. Brown,24.48,True,3
My Kind of Crazy,40.36,True,1
Mr. Mercedes (Bill Hodges Trilogy #1),28.9,True,1
More Than Music (Chasing the Dream #1),37.61,True,2
Made to Stick: Why Some Ideas Survive and Others Die,38.85,True,5
Luis Paints the World,53.95,True,3
Luckiest Girl Alive,49.83,True,3
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,True,2
Love Is a Mix Tape (Music #1),18.03,True,1
Looking for Lovely: Collecting the Moments that Matter,29.14,True,5
"Living Leadership by Insight: A Good Leader Achieves, a Great Leader Builds Monuments",46.91,True,4
Let It Out: A Journey Through Journaling,26.79,True,5
Lady Midnight (The Dark Artifices #1),16.28,True,5
"It's All Easy: Healthy, Delicious Weeknight Meals in under 30 Minutes",19.55,True,1
Island of Dragons (Unwanteds #7),29.65,True,1
I Know What I'm Doing -- and Other Lies I Tell Myself: Dispatches from a Life Under Construction,25.98,True,4
I Am Pilgrim (Pilgrim #1),10.6,True,4
"Hyperbole and a Half: Unfortunate Situations, Flawed Coping Mechanisms, Mayhem, and Other Things That Happened",14.75,True,5
"Hush, Hush (Hush, Hush #1)",47.02,True,3
Hold Your Breath (Search and Rescue #1),28.82,True,1
Hamilton: The Revolution,58.79,True,3
Greek Mythic History,10.23,True,5
God: The Most Unpleasant Character in All Fiction,30.03,True,5
Glory over Everything: Beyond The Kitchen House,45.84,True,3
Feathers: Displays of Brilliant Plumage,49.05,True,3
"Far & Away: Places on the Brink of Change: Seven Continents, Twenty-Five Years",15.06,True,4
Every Last Word,46.47,True,3
Eligible (The Austen Project #4),27.09,True,3
El Deafo,57.62,True,5
Eight Hundred Grapes,14.39,True,4
"Eaternity: More than 150 Deliciously Easy Vegan Recipes for a Long, Healthy, Satisfied, Joyful Life",51.75,True,5
"Eat Fat, Get Thin",54.07,True,2
Don't Get Caught,55.35,True,1
Doctor Sleep (The Shining #2),40.12,True,2
Demigods & Magicians: Percy and Annabeth Meet the Kanes (Percy Jackson & Kane Chronicles Crossover #1-3),37.51,True,5
Dear Mr. Knightley,11.21,True,5
Daily Fantasy Sports,36.58,True,1
Crazy Love: Overwhelmed by a Relentless God,47.72,True,2
Cometh the Hour (The Clifton Chronicles #6),25.01,True,3
Code Name Verity (Code Name Verity #1),22.13,True,4
Clockwork Angel (The Infernal Devices #1),44.14,True,1
City of Glass (The Mortal Instruments #3),56.02,True,4
City of Fallen Angels (The Mortal Instruments #4),11.23,True,4
City of Bones (The Mortal Instruments #1),43.28,True,1
City of Ashes (The Mortal Instruments #2),47.27,True,1
Cell,20.29,True,4
Catching Jordan (Hundred Oaks),50.83,True,3
"Carry On, Warrior: Thoughts on Life Unarmed",31.85,True,3
Carrie,46.23,True,2
Buying In: The Secret Dialogue Between What We Buy and Who We Are,37.8,True,4
Brain on Fire: My Month of Madness,49.32,True,5
Batman: Europa,32.01,True,2
Barefoot Contessa Back to Basics,28.01,True,1
Barefoot Contessa at Home: Everyday Recipes You'll Make Over and Over Again,50.62,True,5
Balloon Animals,17.03,True,3
Art Ops Vol. 1,48.8,True,3
Aristotle and Dante Discover the Secrets of the Universe (Aristotle and Dante Discover the Secrets of the Universe #1),58.14,True,4
Angels Walking (Angels Walking #1),34.2,True,2
Angels & Demons (Robert Langdon #1),51.48,True,3
All the Light We Cannot See,29.87,True,5
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,True,2
Abstract City,56.37,True,5
A Time of Torment (Charlie Parker #14),48.35,True,5
A Study in Scarlet (Sherlock Holmes #1),16.73,True,2
"A Series of Catastrophes and Miracles: A True Story of Love, Science, and Cancer",56.48,True,2
A People's History of the United States,40.79,True,2
A Man Called Ove,39.72,True,1
A Distant Mirror: The Calamitous 14th Century,14.58,True,3
A Brush of Wings (Angels Walking #3),55.51,True,1
1491: New Revelations of the Americas Before Columbus,21.8,True,3
"The Three Searches, Meaning, and the Story",13.33,True,3
Searching for Meaning in Gailana,38.73,True,1
Rook,37.86,True,4
My Kitchen Year: 136 Recipes That Saved My Life,11.53,True,2
13 Hours: The Inside Account of What Really Happened In Benghazi,27.06,True,1
Will You Won't You Want Me?,13.86,True,3
Tipping Point for Planet Earth: How Close Are We to the Edge?,37.55,True,1
The Star-Touched Queen,32.3,True,5
The Silent Sister (Riley MacPherson #1),46.29,True,5
The Midnight Watch: A Novel of the Titanic and the Californian,26.2,True,1
The Lonely City: Adventures in the Art of Being Alone,33.26,True,2
The Gray Rhino: How to Recognize and Act on the Obvious Dangers We Ignore,59.15,True,4
The Golden Condom: And Other Essays on Love Lost and Found,39.43,True,1
The Epidemic (The Program 0.6),14.44,True,5
The Dinner Party,56.54,True,2
The Diary of a Young Girl,59.9,True,3
The Children,11.88,True,3
Stars Above (The Lunar Chronicles #4.5),48.05,True,2
Snatched: How A Drug Queen Went Undercover for the DEA and Was Kidnapped By Colombian Guerillas,21.21,True,3
Raspberry Pi Electronics Projects for the Evil Genius,49.67,True,4
Quench Your Own Thirst: Business Lessons Learned Over a Beer or Two,43.14,True,1
Psycho: Sanitarium (Psycho #1.5),36.97,True,5
Poisonous (Max Revere Novels #3),26.8,True,3
One with You (Crossfire #5),15.71,True,4
No Love Allowed (Dodge Cove #1),54.65,True,4
Murder at the 42nd Street Library (Raymond Ambler #1),54.36,True,4
Most Wanted,35.28,True,3
"Love, Lies and Spies",20.55,True,2
How to Speak Golf: An Illustrated Guide to Links Lingo,58.32,True,5
Hide Away (Eve Duncan #20),11.84,True,1
Furiously Happy: A Funny Book About Horrible Things,41.46,True,4
Everyday Italian: 125 Simple and Delicious Recipes,20.1,True,5
Equal Is Unfair: America's Misguided Fight Against Income Inequality,56.86,True,1
Eleanor & Park,56.51,True,5
Dirty (Dive Bar #1),40.83,True,4
Can You Keep a Secret? (Fear Street Relaunch #4),48.64,True,1
Boar Island (Anna Pigeon #19),59.48,True,3
A Paris Apartment,39.01,True,4
"A la Mode: 120 Recipes in 60 Pairings: Pies, Tarts, Cakes, Crisps, and More Topped with Ice Cream, Gelato, Frozen Custard, and More",38.77,True,1
Troublemaker: Surviving Hollywood and Scientology,48.39,True,2
The Widow,27.26,True,2
"The Sleep Revolution: Transforming Your Life, One Night at a Time",11.68,True,4
The Improbability of Love,59.45,True,1
The Art of Startup Fundraising,21.0,True,3
Take Me Home Tonight (Rock Star Romance #3),53.98,True,3
Sleeping Giants (Themis Files #1),48.74,True,1
"Setting the World on Fire: The Brief, Astonishing Life of St. Catherine of Siena",21.15,True,2
Playing with Fire,13.71,True,3
Off the Hook (Fishing for Trouble #1),47.67,True,3
Mothering Sunday,13.34,True,2
"Mother, Can You Not?",16.89,True,5
M Train,27.18,True,1
Lilac Girls,17.28,True,2
Lies and Other Acts of Love,45.14,True,1
Lab Girl,40.85,True,1
Keep Me Posted,20.46,True,4
It Didn't Start with You: How Inherited Family Trauma Shapes Who We Are and How to End the Cycle,56.27,True,3
Grey (Fifty Shades #4),48.49,True,4
"Exit, Pursued by a Bear",51.34,True,4
Daredevils,16.34,True,3
Cravings: Recipes for What You Want to Eat,20.5,True,3
Born for This: How to Find the Work You Were Meant to Do,21.59,True,5
Arena,21.36,True,4
Adultery,20.88,True,5
A Mother's Reckoning: Living in the Aftermath of Tragedy,19.53,True,3
A Gentleman's Position (Society of Gentlemen #3),14.75,True,5
11/22/63,48.48,True,3
"10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works",24.57,True,2
10-Day Green Smoothie Cleanse: Lose Up to 15 Pounds in 10 Days!,49.71,True,5
Without Shame,48.27,True,5
Watchmen,58.05,True,4
Unlimited Intuition Now,58.87,True,4
Underlying Notes,11.82,True,2
The Shack,28.03,True,1
The New Brand You: Your New Image Makes the Sale for You,44.05,True,5
"The Moosewood Cookbook: Recipes from Moosewood Restaurant, Ithaca, New York",12.34,True,4
The Flowers Lied,16.68,True,2
"The Fabric of the Cosmos: Space, Time, and the Texture of Reality",55.91,True,1
The Book of Mormon,24.57,True,3
The Art and Science of Low Carbohydrate Living,52.98,True,5
The Alien Club,54.4,True,1
Suzie Snowflake: One beautiful flake (a self-esteem story),54.81,True,5
Nap-a-Roo,25.08,True,1
"NaNo What Now? Finding your editing process, revising your NaNoWriMo book and building a writing career through publishing and beyond",10.41,True,4
Modern Day Fables,47.44,True,2
If I Gave You God's Phone Number....: Searching for Spirituality in America,20.91,True,1
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,True,4
Dress Your Family in Corduroy and Denim,43.68,True,3
Don't Forget Steven,33.23,True,1
Chernobyl 01:23:40: The Incredible True Story of the World's Worst Nuclear Disaster,35.92,True,2
Art and Fear: Observations on the Perils (and Rewards) of Artmaking,48.63,True,4
A Shard of Ice (The Black Symphony Saga #1),56.63,True,3
A Hero's Curse (The Unseen Chronicles #1),50.49,True,3
23 Degrees South: A Tropical Tale of Changing Whether...,35.79,True,2
"Zero to One: Notes on Startups, or How to Build the Future",34.06,True,3
Why Not Me?,17.76,True,1
When Breath Becomes Air,39.36,True,2
Vagabonding: An Uncommon Guide to the Art of Long-Term World Travel,36.94,True,2
The Unlikely Pilgrimage of Harold Fry (Harold Fry #1),43.62,True,5
The New Drawing on the Right Side of the Brain,43.02,True,3
"The Midnight Assassin: Panic, Scandal, and the Hunt for America's First Serial Killer",28.45,True,4
The Martian (The Martian #1),41.39,True,2
The High Mountains of Portugal,51.15,True,1
The Grownup,35.88,True,1
The E-Myth Revisited: Why Most Small Businesses Don't Work and What to Do About It,36.91,True,1
South of Sunshine,28.93,True,1
Smarter Faster Better: The Secrets of Being Productive in Life and Business,38.89,True,5
Silence in the Dark (Logan Point #4),58.33,True,3
Shadows of the Past (Logan Point #1),39.67,True,5
Roller Girl,14.1,True,5
Rising Strong,21.82,True,3
Proofs of God: Classical Arguments from Tertullian to Barth,54.21,True,1
Please Kill Me: The Uncensored Oral History of Punk,31.19,True,4
Out of Print: City Lights Spotlight No. 14,53.64,True,5
My Life Next Door (My Life Next Door ),36.39,True,5
Miller's Valley,58.54,True,2
Man's Search for Meaning,29.48,True,3
"Love That Boy: What Two Presidents, Eight Road Trips, and My Son Taught Me About a Parent's Expectations",25.06,True,2
Living Forward: A Proven Plan to Stop Drifting and Get the Life You Want,12.55,True,3
Les Fleurs du Mal,29.04,True,5
Left Behind (Left Behind #1),40.72,True,2
Kill 'Em and Leave: Searching for James Brown and the American Soul,45.05,True,5
Kierkegaard: A Christian Missionary to Christians,47.13,True,1
John Vassos: Industrial Design for Modern Life,20.22,True,4
I'll Give You the Sun,56.48,True,1
I Will Find You,44.21,True,1
Hystopia: A Novel,21.96,True,4
Howl and Other Poems,40.45,True,2
History of Beauty,10.29,True,4
Heaven is for Real: A Little Boy's Astounding Story of His Trip to Heaven and Back,52.86,True,2
Future Shock (Future Shock #1),55.65,True,5
Ender's Game (The Ender Quintet #1),43.64,True,1
Diary of a Citizen Scientist: Chasing Tiger Beetles and Other New Ways of Engaging the World,28.41,True,1
Death by Leisure: A Cautionary Tale,37.51,True,4
Brilliant Beacons: A History of the American Lighthouse,11.45,True,3
Brazen: The Courage to Find the You That's Been Hiding,19.22,True,2
Between the World and Me,56.91,True,4
Being Mortal: Medicine and What Matters in the End,55.06,True,4
"A Murder Over a Girl: Justice, Gender, Junior High",13.2,True,3
32 Yolks,53.63,True,2
"""Most Blessed of the Patriarchs"": Thomas Jefferson and the Empire of the Imagination",44.48,True,5
You Are a Badass: How to Stop Doubting Your Greatness and Start Living an Awesome Life,12.08,True,3
